angle, fsin, fcos, sin, cos, dsin, dcos
256.13, -0.9708421316176344, -0.23971974360934034, -0.9708421316176344, -0.23971974360934034, 0, 0/n
256.14, -0.970883955818731, -0.23955029604192207, -0.970883955818731, -0.23955029604192207, 0, 0/n
256.15, -0.9709257504450111, -0.23938084117738448, -0.9709257504450111, -0.23938084117738448, 0, 0/n
256.16, -0.9709675154952017, -0.23921137902088865, -0.9709675154952017, -0.23921137902088865, 0, 0/n
256.17, -0.9710092509680304, -0.23904190957759838, -0.9710092509680304, -0.23904190957759838, 0, 0/n
256.18, -0.9710509568622255, -0.238872432852676, -0.9710509568622255, -0.238872432852676, 0, 0/n
256.19, -0.9710926331765173, -0.2387029488512824, -0.9710926331765173, -0.2387029488512824, 0, 0/n
256.2, -0.971134279909636, -0.23853345757858116, -0.971134279909636, -0.23853345757858116, 0, 0/n
256.21, -0.9711758970603128, -0.2383639590397353, -0.9711758970603128, -0.2383639590397353, 0, 0/n
256.22, -0.9712174846272804, -0.2381944532399072, -0.9712174846272804, -0.2381944532399072, 0, 0/n
256.23, -0.9712590426092714, -0.23802494018426198, -0.9712590426092714, -0.23802494018426198, 0, 0/n
256.24, -0.9713005710050199, -0.23785541987796335, -0.9713005710050199, -0.23785541987796335, 0, 0/n
256.25, -0.9713420698132613, -0.23768589232617343, -0.9713420698132613, -0.23768589232617343, 0, 0/n
256.26, -0.9713835390327313, -0.2375163575340572, -0.9713835390327313, -0.2375163575340572, 0, 0/n
256.27, -0.9714249786621667, -0.237346815506779, -0.9714249786621667, -0.237346815506779, 0, 0/n
256.28, -0.9714663887003052, -0.2371772662495025, -0.9714663887003051, -0.23717726624950336, -0.00000000000000011102230246251565, 0.0000000000000008604228440844963/n
256.29, -0.9715077691458852, -0.23700770976739421, -0.9715077691458852, -0.23700770976739421, 0, 0/n
256.3, -0.9715491199976463, -0.2368381460656182, -0.9715491199976463, -0.2368381460656182, 0, 0/n
256.31, -0.9715904412543286, -0.23666857514934062, -0.9715904412543286, -0.23666857514934062, 0, 0/n
256.32, -0.9716317329146739, -0.2364989970237251, -0.9716317329146739, -0.2364989970237251, 0, 0/n
256.33, -0.971672994977424, -0.23632941169393817, -0.971672994977424, -0.23632941169393817, 0, 0/n
256.34, -0.9717142274413224, -0.23615981916514484, -0.9717142274413222, -0.2361598191651457, -0.0000000000000002220446049250313, 0.0000000000000008604228440844963/n
256.35, -0.9717554303051126, -0.23599021944251292, -0.9717554303051126, -0.23599021944251292, 0, 0/n
256.36, -0.9717966035675397, -0.2358206125312078, -0.9717966035675397, -0.2358206125312078, 0, 0/n
256.37, -0.9718377472273495, -0.23565099843639611, -0.9718377472273495, -0.23565099843639611, 0, 0/n
256.38, -0.9718788612832884, -0.23548137716324535, -0.9718788612832884, -0.23548137716324535, 0, 0/n
256.39, -0.9719199457341046, -0.23531174871692082, -0.9719199457341046, -0.23531174871692082, 0, 0/n
256.4, -0.9719610005785462, -0.2351421131025905, -0.9719610005785462, -0.2351421131025905, 0, 0/n
256.41, -0.9720020258153628, -0.23497247032542098, -0.9720020258153628, -0.23497247032542098, 0, 0/n
256.42, -0.9720430214433043, -0.2348028203905816, -0.9720430214433043, -0.2348028203905816, 0, 0/n
256.43, -0.9720839874611223, -0.23463316330323927, -0.9720839874611223, -0.23463316330323927, 0, 0/n
256.44, -0.9721249238675685, -0.23446349906856295, -0.9721249238675685, -0.23446349906856295, 0, 0/n
256.45, -0.9721658306613965, -0.2342938276917192, -0.9721658306613965, -0.2342938276917192, 0, 0/n
256.46, -0.9722067078413598, -0.2341241491778773, -0.9722067078413598, -0.2341241491778773, 0, 0/n
256.47, -0.9722475554062134, -0.23395446353220514, -0.9722475554062134, -0.23395446353220514, 0, 0/n
256.48, -0.9722883733547129, -0.2337847707598734, -0.9722883733547129, -0.2337847707598734, 0, 0/n
256.49, -0.9723291616856148, -0.23361507086605027, -0.9723291616856148, -0.23361507086605027, 0, 0/n
256.5, -0.9723699203976767, -0.23344536385590514, -0.9723699203976767, -0.23344536385590514, 0, 0/n
256.51, -0.9724106494896568, -0.2332756497346085, -0.9724106494896568, -0.2332756497346085, 0, 0/n
256.52, -0.972451348960315, -0.2331059285073283, -0.972451348960315, -0.2331059285073283, 0, 0/n
256.53, -0.9724920188084114, -0.23293620017923466, -0.9724920188084112, -0.23293620017923553, -0.0000000000000002220446049250313, 0.0000000000000008604228440844963/n
256.54, -0.9725326590327067, -0.23276646475549945, -0.9725326590327067, -0.23276646475549945, 0, 0/n
256.55, -0.9725732696319631, -0.23259672224129227, -0.9725732696319631, -0.23259672224129227, 0, 0/n
256.56, -0.9726138506049435, -0.23242697264178377, -0.9726138506049435, -0.23242697264178377, 0, 0/n
256.57, -0.972654401950412, -0.23225721596214483, -0.972654401950412, -0.23225721596214483, 0, 0/n
256.58, -0.9726949236671328, -0.23208745220754737, -0.9726949236671328, -0.23208745220754737, 0, 0/n
256.59, -0.9727354157538725, -0.2319176813831601, -0.9727354157538722, -0.23191768138316096, -0.0000000000000002220446049250313, 0.0000000000000008604228440844963/n
256.6, -0.9727758782093966, -0.23174790349415716, -0.9727758782093966, -0.23174790349415716, 0, 0/n
256.61, -0.972816311032473, -0.23157811854570942, -0.972816311032473, -0.23157811854570942, 0, 0/n
256.62, -0.9728567142218701, -0.23140832654298876, -0.9728567142218701, -0.23140832654298876, 0, 0/n
256.63, -0.9728970877763571, -0.2312385274911674, -0.9728970877763571, -0.2312385274911674, 0, 0/n
256.64, -0.972937431694704, -0.23106872139541773, -0.972937431694704, -0.23106872139541773, 0, 0/n
256.65, -0.9729777459756819, -0.23089890826091314, -0.9729777459756819, -0.23089890826091314, 0, 0/n
256.66, -0.973018030618063, -0.2307290880928239, -0.973018030618063, -0.2307290880928239, 0, 0/n
256.67, -0.97305828562062, -0.23055926089632556, -0.97305828562062, -0.23055926089632556, 0, 0/n
256.68, -0.9730985109821266, -0.23038942667659051, -0.9730985109821266, -0.23038942667659051, 0, 0/n
256.69, -0.9731387067013575, -0.23021958543879223, -0.9731387067013575, -0.23021958543879223, 0, 0/n
256.7, -0.9731788727770883, -0.23004973718810437, -0.9731788727770883, -0.23004973718810437, 0, 0/n
256.71, -0.9732190092080951, -0.22987988192970163, -0.9732190092080951, -0.22987988192970163, 0, 0/n
256.72, -0.9732591159931563, -0.22971001966875554, -0.9732591159931563, -0.22971001966875554, 0, 0/n
256.73, -0.9732991931310491, -0.229540150410443, -0.9732991931310491, -0.229540150410443, 0, 0/n
256.74, -0.9733392406205531, -0.22937027415993763, -0.9733392406205531, -0.22937027415993763, 0, 0/n
256.75, -0.9733792584604485, -0.22920039092241418, -0.9733792584604485, -0.22920039092241418, 0, 0/n
256.76, -0.9734192466495161, -0.22903050070304753, -0.9734192466495161, -0.22903050070304753, 0, 0/n
256.77, -0.9734592051865377, -0.22886060350701293, -0.9734592051865377, -0.22886060350701293, 0, 0/n
